Distance (km),Loss (dB)
0.001620,44.070000
0.001625,44.069000
0.001630,44.068000
0.001635,44.067000
0.001640,44.066000
0.001646,44.064000
0.001651,44.062000
0.001656,44.060000
0.001661,44.058000
0.001666,44.058000
0.001671,44.057000
0.001676,44.057000
0.001681,44.055000
0.001686,44.053000
0.001691,44.051000
0.001697,44.049000
0.001702,44.047000
0.001707,44.046000
0.001712,44.044000
0.001717,44.042000
0.001722,44.040000
0.001727,44.037000
0.001732,44.036000
0.001737,44.033000
0.001742,44.030000
0.001747,44.028000
0.001753,44.026000
0.001758,44.024000
0.001763,44.022000
0.001768,44.020000
0.001773,44.019000
0.001778,44.019000
0.001783,44.017000
0.001788,44.016000
0.001793,44.013000
0.001798,44.012000
0.001804,44.010000
0.001809,44.009000
0.001814,44.008000
0.001819,44.007000
0.001824,44.006000
0.001829,44.004000
0.001834,44.003000
0.001839,44.001000
0.001844,44.000000
0.001849,43.997000
0.001854,43.993000
0.001860,43.991000
0.001865,43.987000
0.001870,43.986000
0.001875,43.984000
0.001880,43.983000
0.001885,43.981000
0.001890,43.979000
0.001895,43.977000
0.001900,43.973000
0.001905,43.971000
0.001911,43.969000
0.001916,43.966000
0.001921,43.964000
0.001926,43.962000
0.001931,43.959000
0.001936,43.958000
0.001941,43.956000
0.001946,43.953000
0.001951,43.951000
0.001956,43.949000
0.001961,43.947000
0.001967,43.946000
0.001972,43.945000
0.001977,43.944000
0.001982,43.944000
0.001987,43.943000
0.001992,43.943000
0.001997,43.942000
0.002002,43.941000
0.002007,43.939000
0.002012,43.937000
0.002017,43.936000
0.002023,43.934000
0.002028,43.933000
0.002033,43.932000
0.002038,43.930000
0.002043,43.929000
0.002048,43.927000
0.002053,43.924000
0.002058,43.922000
0.002063,43.920000
0.002068,43.918000
0.002074,43.917000
0.002079,43.914000
0.002084,43.912000
0.002089,43.911000
0.002094,43.909000
0.002099,43.909000
0.002104,43.907000
0.002109,43.904000
0.002114,43.902000
0.002119,43.900000
0.002124,43.897000
0.002130,43.895000
0.002135,43.893000
0.002140,43.891000
0.002145,43.891000
0.002150,43.889000
0.002155,43.888000
0.002160,43.887000
0.002165,43.885000
0.002170,43.884000
0.002175,43.882000
0.002181,43.881000
0.002186,43.879000
0.002191,43.878000
0.002196,43.878000
0.002201,43.877000
0.002206,43.876000
0.002211,43.875000
0.002216,43.874000
0.002221,43.872000
0.002226,43.870000
0.002231,43.868000
0.002237,43.866000
0.002242,43.864000
0.002247,43.862000
0.002252,43.860000
0.002257,43.859000
0.002262,43.856000
0.002267,43.853000
0.002272,43.851000
0.002277,43.849000
0.002282,43.847000
0.002288,43.847000
0.002293,43.846000
0.002298,43.844000
0.002303,43.842000
0.002308,43.840000
0.002313,43.837000
0.002318,43.834000
0.002323,43.830000
0.002328,43.828000
0.002333,43.826000
0.002338,43.823000
0.002344,43.821000
0.002349,43.819000
0.002354,43.818000
0.002359,43.817000
0.002364,43.815000
0.002369,43.813000
0.002374,43.810000
0.002379,43.808000
0.002384,43.808000
0.002389,43.807000
0.002395,43.806000
0.002400,43.804000
0.002405,43.802000
0.002410,43.800000
0.002415,43.798000
0.002420,43.797000
0.002425,43.796000
0.002430,43.795000
0.002435,43.793000
0.002440,43.791000
0.002445,43.790000
0.002451,43.789000
0.002456,43.788000
0.002461,43.785000
0.002466,43.784000
0.002471,43.781000
0.002476,43.778000
0.002481,43.775000
0.002486,43.772000
0.002491,43.770000
0.002496,43.767000
0.002501,43.765000
0.002507,43.762000
0.002512,43.760000
0.002517,43.758000
0.002522,43.757000
0.002527,43.755000
0.002532,43.753000
0.002537,43.751000
0.002542,43.749000
0.002547,43.748000
0.002552,43.747000
0.002558,43.745000
0.002563,43.744000
0.002568,43.742000
0.002573,43.740000
0.002578,43.739000
0.002583,43.737000
0.002588,43.736000
0.002593,43.735000
0.002598,43.734000
0.002603,43.733000
0.002608,43.731000
0.002614,43.730000
0.002619,43.728000
0.002624,43.726000
0.002629,43.725000
0.002634,43.722000
0.002639,43.721000
0.002644,43.718000
0.002649,43.716000
0.002654,43.715000
0.002659,43.713000
0.002665,43.713000
0.002670,43.712000
0.002675,43.710000
0.002680,43.707000
0.002685,43.705000
0.002690,43.702000
0.002695,43.699000
0.002700,43.698000
0.002705,43.696000
0.002710,43.695000
0.002715,43.694000
0.002721,43.692000
0.002726,43.691000
0.002731,43.690000
0.002736,43.690000
0.002741,43.689000
0.002746,43.687000
0.002751,43.684000
0.002756,43.683000
0.002761,43.681000
0.002766,43.679000
0.002772,43.678000
0.002777,43.675000
0.002782,43.672000
0.002787,43.671000
0.002792,43.669000
0.002797,43.669000
0.002802,43.668000
0.002807,43.666000
0.002812,43.665000
0.002817,43.663000
0.002822,43.660000
0.002828,43.658000
0.002833,43.656000
0.002838,43.654000
0.002843,43.654000
0.002848,43.652000
0.002853,43.650000
0.002858,43.648000
0.002863,43.645000
0.002868,43.642000
0.002873,43.639000
0.002879,43.636000
0.002884,43.633000
0.002889,43.632000
0.002894,43.632000
0.002899,43.631000
0.002904,43.629000
0.002909,43.627000
0.002914,43.625000
0.002919,43.623000
0.002924,43.622000
0.002929,43.621000
0.002935,43.620000
0.002940,43.618000
0.002945,43.617000
0.002950,43.614000
0.002955,43.611000
0.002960,43.608000
0.002965,43.604000
0.002970,43.603000
0.002975,43.603000
0.002980,43.601000
0.002985,43.601000
0.002991,43.599000
0.002996,43.597000
0.003001,43.595000
0.003006,43.593000
0.003011,43.592000
0.003016,43.591000
0.003021,43.589000
0.003026,43.588000
0.003031,43.587000
0.003036,43.586000
0.003042,43.584000
0.003047,43.582000
0.003052,43.581000
0.003057,43.579000
0.003062,43.578000
0.003067,43.577000
0.003072,43.575000
0.003077,43.572000
0.003082,43.569000
0.003087,43.567000
0.003092,43.567000
0.003098,43.566000
0.003103,43.566000
0.003108,43.564000
0.003113,43.562000
0.003118,43.561000
0.003123,43.558000
0.003128,43.556000
0.003133,43.553000
0.003138,43.551000
0.003143,43.549000
0.003149,43.546000
0.003154,43.545000
0.003159,43.543000
0.003164,43.542000
0.003169,43.540000
0.003174,43.539000
0.003179,43.536000
0.003184,43.533000
0.003189,43.531000
0.003194,43.528000
0.003199,43.528000
0.003205,43.527000
0.003210,43.526000
0.003215,43.526000
0.003220,43.523000
0.003225,43.521000
0.003230,43.521000
0.003235,43.520000
0.003240,43.519000
0.003245,43.518000
0.003250,43.517000
0.003256,43.516000
0.003261,43.515000
0.003266,43.513000
0.003271,43.511000
0.003276,43.510000
0.003281,43.508000
0.003286,43.507000
0.003291,43.506000
0.003296,43.505000
0.003301,43.504000
0.003306,43.502000
0.003312,43.500000
0.003317,43.498000
0.003322,43.495000
0.003327,43.493000
0.003332,43.491000
0.003337,43.487000
0.003342,43.485000
0.003347,43.482000
0.003352,43.480000
0.003357,43.478000
0.003362,43.475000
0.003368,43.474000
0.003373,43.471000
0.003378,43.468000
0.003383,43.467000
0.003388,43.463000
0.003393,43.463000
0.003398,43.463000
0.003403,43.460000
0.003408,43.459000
0.003413,43.456000
0.003419,43.453000
0.003424,43.453000
0.003429,43.451000
0.003434,43.450000
0.003439,43.448000
0.003444,43.445000
0.003449,43.443000
0.003454,43.442000
0.003459,43.441000
0.003464,43.439000
0.003469,43.438000
0.003475,43.436000
0.003480,43.433000
0.003485,43.432000
0.003490,43.430000
0.003495,43.429000
0.003500,43.428000
0.003505,43.427000
0.003510,43.425000
0.003515,43.422000
0.003520,43.420000
0.003526,43.418000
0.003531,43.416000
0.003536,43.414000
0.003541,43.409000
0.003546,43.406000
0.003551,43.404000
0.003556,43.402000
0.003561,43.402000
0.003566,43.401000
0.003571,43.399000
0.003576,43.397000
0.003582,43.395000
0.003587,43.392000
0.003592,43.389000
0.003597,43.385000
0.003602,43.384000
0.003607,43.382000
0.003612,43.380000
0.003617,43.379000
0.003622,43.376000
0.003627,43.375000
0.003633,43.373000
0.003638,43.371000
0.003643,43.369000
0.003648,43.367000
0.003653,43.365000
0.003658,43.363000
0.003663,43.361000
0.003668,43.359000
0.003673,43.359000
